"long","lat","order","piece","id","group"
126.908885458397,37.5582473269527,1,"1","0","0.1"
126.908429985056,37.5581538226409,2,"1","0","0.1"
127.036168326008,37.5503608418794,1,"1","1","1.1"
127.035987339244,37.5501974971169,2,"1","1","1.1"
127.078018631755,37.5679342106953,1,"1","2","2.1"
127.077658731166,37.5672851447936,2,"1","2","2.1"
126.89935499104,37.5635007013963,1,"1","3","3.1"
126.899414436227,37.5643226898403,2,"1","3","3.1"
126.899777262311,37.5642231420844,1,"1","4","4.1"
126.899805540593,37.5647464386972,2,"1","4","4.1"
126.914221854655,37.5661161241599,1,"1","5","5.1"
126.913670874212,37.565932384572,2,"1","5","5.1"
126.91040367409,37.5650456323501,1,"1","6","6.1"
126.909431745279,37.5647880916972,2,"1","6","6.1"
126.913892345755,37.5663854000662,1,"1","7","7.1"
126.913258384867,37.5662084710441,2,"1","7","7.1"
126.912525929328,37.5660044976095,1,"1","8","8.1"
126.911786301697,37.5658101181425,2,"1","8","8.1"
126.898689706765,37.5615423413061,1,"1","9","9.1"
126.897942683108,37.5612107657643,2,"1","9","9.1"
126.89451133513,37.5598057504351,1,"1","10","10.1"
126.893934754585,37.5595353989395,2,"1","10","10.1"
126.893384490002,37.5559847945627,1,"1","11","11.1"
126.893579949555,37.5558271524012,2,"1","11","11.1"
126.908218528362,37.5455279562502,1,"1","12","12.1"
126.908918465315,37.5450338129601,2,"1","12","12.1"
126.92811388195,37.5435532689683,1,"1","13","13.1"
126.92868316,37.5432581672307,2,"1","13","13.1"
126.936264424164,37.5416876478667,1,"1","14","14.1"
126.936911094272,37.5415430260898,2,"1","14","14.1"
126.937668540171,37.5411713947441,1,"1","15","15.1"
126.938250934833,37.5408449561299,2,"1","15","15.1"
126.942537597432,37.5362254544412,1,"1","16","16.1"
126.942841710377,37.5357832038318,2,"1","16","16.1"
126.993369858732,37.5225862571501,1,"1","17","17.1"
126.993482538389,37.5219552478364,2,"1","17","17.1"
126.909097630951,37.5582932823092,1,"1","18","18.1"
126.908885458397,37.5582473269527,2,"1","18","18.1"
127.081750534959,37.5315458411677,1,"1","19","19.1"
127.08102260391,37.5316860508706,2,"1","19","19.1"
127.075050663957,37.5305934564229,1,"1","20","20.1"
127.07533313022,37.5315491605654,2,"1","20","20.1"
127.032248903364,37.544930324375,1,"1","21","21.1"
127.031610247115,37.5444342826161,2,"1","21","21.1"
126.912551797428,37.5590173282871,1,"1","22","22.1"
126.911864224355,37.5588765331256,2,"1","22","22.1"
127.110687159785,37.547856581616,1,"1","23","23.1"
127.110828989167,37.5487619785825,2,"1","23","23.1"
126.899732173901,37.5633887636806,1,"1","24","24.1"
126.899777262311,37.5642231420844,2,"1","24","24.1"
127.045111691651,37.5517499832752,1,"1","25","25.1"
127.045745757761,37.5518061621248,2,"1","25","25.1"
126.994200869175,37.519040899418,1,"1","26","26.1"
126.994264659886,37.5190652098916,2,"1","26","26.1"
127.055010437682,37.5342619996916,1,"1","27","27.1"
127.055821870783,37.5340349577472,2,"1","27","27.1"
126.994264659886,37.5190652098916,1,"1","28","28.1"
126.994431984149,37.5191341923891,2,"1","28","28.1"
126.945428991555,37.534105323402,1,"1","29","29.1"
126.946120777952,37.5340837207871,2,"1","29","29.1"
126.947898982252,37.5332857982011,1,"1","30","30.1"
126.948412201062,37.5328422345815,2,"1","30","30.1"
126.970690869588,37.5170481339642,1,"1","31","31.1"
126.969932573829,37.5173547380308,2,"1","31","31.1"
126.999348600258,37.5212174269428,1,"1","32","32.1"
127.000138957747,37.5215675833773,2,"1","32","32.1"
127.070751961234,37.5595623489233,1,"1","33","33.1"
127.070361153644,37.5591877803918,2,"1","33","33.1"
127.075491577275,37.5647499532478,1,"1","34","34.1"
127.075072754005,37.5639977908654,2,"1","34","34.1"
127.074627869281,37.5631993026058,1,"1","35","35.1"
127.074295022997,37.5625887456741,2,"1","35","35.1"
127.074295022997,37.5625887456741,1,"1","36","36.1"
127.073939694561,37.5619194234427,2,"1","36","36.1"
126.913840739958,37.5592865169592,1,"1","37","37.1"
126.912551797428,37.5590173282871,2,"1","37","37.1"
127.062972212198,37.5615114657816,1,"1","38","38.1"
127.063496263342,37.5614436470067,2,"1","38","38.1"
126.997021266318,37.5201739840422,1,"1","39","39.1"
126.997689330398,37.520458385646,2,"1","39","39.1"
127.071748401068,37.5587703186953,1,"1","40","40.1"
127.071454954982,37.5584212387492,2,"1","40","40.1"
127.05939726677,37.5491585526252,1,"1","41","41.1"
127.058903358203,37.5493308546353,2,"1","41","41.1"
127.026294383279,37.5449066991849,1,"1","42","42.1"
127.025368718292,37.5445724643478,2,"1","42","42.1"
127.079102313021,37.5632938474332,1,"1","43","43.1"
127.079620389969,37.5631176036945,2,"1","43","43.1"
127.087338026429,37.5621227358756,1,"1","44","44.1"
127.087289793989,37.5623602522239,2,"1","44","44.1"
127.08074640862,37.5596903773091,1,"1","45","45.1"
127.080065313364,37.558444575257,2,"1","45","45.1"
127.076502893694,37.5518270533759,1,"1","46","46.1"
127.076224737881,37.5511550871376,2,"1","46","46.1"
127.101711556143,37.5419767538242,1,"1","47","47.1"
127.101819921752,37.5419798807669,2,"1","47","47.1"
127.08462404966,37.5334429223531,1,"1","48","48.1"
127.084690680431,37.5332680842548,2,"1","48","48.1"
127.085325593701,37.5322892009859,1,"1","49","49.1"
127.085597116114,37.5319338509665,2,"1","49","49.1"
127.078454550237,37.5324501409613,1,"1","50","50.1"
127.07718055264,37.5328383090408,2,"1","50","50.1"
127.07709654427,37.53270218226,1,"1","51","51.1"
